,0
169,흐 하늘님 그찌 실비백 제가 세상에서 젤 갖고싶은 백이였는데...ㅠㅠㅠㅠㅠ 별로안들고 다니시는거 보고 뭔가 사고싶지않네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ흐미 하늘님 근데 부러워요.. 저렇게 백이많다니...﻿
170,"하늘님 영상보고 에브리데이백 사왔어용 완전 사고싶던 사이즈에 가볍고 편하고 예쁘고 존좋탱!!! 고마워용

어 근뎅 에브리데이백 더보기에는 미디움이라구 적혀있는데 사이즈 xs네요﻿"
171,Red Velvet Irene x Song Hye kyo look alike 😄 so pretty﻿
172,언니 가격도 알려주셨으면 더 좋았을거 같아요﻿
173,턱밑에 브이자 하는거 조금만 줄여주셨으면.. 너무 많이 하는거같아요 ..﻿
174,하늘님 영상내용도 좋고 언제나처럼 발랄하고 귀여우셔서 너무 좋은데 편집이 조금 ㅠㅠ ppt 텍스트박스 넣은 것 같아요..﻿
175,솔직해서 좋아요 👍﻿
176,마지막에 보여주신 샤넬백에 로고나 체인 등등 빈티지 골드인데 녹스는게 아니구 점점 칠이 벗겨지는 거거든요ㅠㅠ 백은 정말 이쁜데 수선도 안되는게 정말 단점...﻿
177,어후 아쥬 귀엽고 생기넘치고 상큼하고 이쁘고 난리났넹 🤨﻿
178,영상에 입은 옷 정보좀 알려주세영﻿
179,아귀여워 글구 취향 대박 비슷해요 ~!~~~﻿
180,언니ㅜㅜㅜㅜㅜ너무 이뻐여ㅜㅜㅜㅜ혹시 귀걸이나 목걸이 등등 악세사리 소개도 해주세여!!﻿
181,원피스 정보좀용...제발료 ㅠㅠㅠ﻿
182,백화점 브랜드말고 인터넷 쇼핑몰 위주 가방은 없나요? 학생분들도 많이보는데ㅠㅠ 사고싶어도 못사네..😭﻿
183,장점단점들을 얘기해줘서 좋아용 하늘님❤️❤️❤️﻿
184,하늘언니 옷 정보 알려주세요❣❣진짜 너무 예뻐요ㅠㅠ완전 찰떡쓰ㅠㅠㅠ﻿
185,가방 다 예쁘다 💛﻿
186,앞머리 넘기는 팁 알려주세용!!﻿
187,나이가 몇인데 명품이 도대체 몇개야. 다 합치면 억 넘겠네.﻿
188,매듭묶는법알려주세요ㅠㅠ﻿
189,저 여주 살아요 .... !! 꺆 !!!!!!!!!﻿
190,발렌시아가 데일리로 쓰신다는 가방 왜 종이백같지 ㅋㅌㅌㅌㅌㅌㅌㅌㅌㅌㅋㅌ﻿
191,발렌시아가 가방 검정색 관심있으신분들은 시티모터백아니고 파피에르라고 치면 나올거에요 ㅎㅎ 하늘님한테 가방 다잘어울려요﻿
192,"하늘색 원피스 너무 잘 어울려요💙
예쁜 가방들 보니 눈이 호강하네요
저는 특히 처음에 소개해준 하늘하늘 가방이 너무 예뻐요><﻿"
193,말투 아이유!!!같아요﻿
194,소프트 심볼 감동이예요 의리﻿
195,"Bertoni 가방 어떻게 구매하셨나요ㅠㅠ? 찾아봐도 안나와서요ㅠㅠㅠ
너무너무 이쁜데 구매경로 좀 알려주세요!.!﻿"
196,헉 .. 저는 저거 루이비통 가방 진짜 데일리 가방으로 가지고 다니는데ㅜㅠ 하늘님한텐 무겁고 크군여ㅜㅜ...﻿
197,루이비통이쁜데너무무거워요 ㅜㅜ﻿
198,다 이쁘고 잘어울려요ㅠㅠ 궁금한게 있는데 발렌시아가 파피에르 백 사이즈 뭐에용~?﻿
199,가격이랑 어디서 사셨는지 넣어주시면 좋았을것으류ㅠㅠㅠㅠ﻿
200,민효린 닮으셨어...﻿
201,저도 미니백 덕후인데 ㅎㅎㅎ 넘넘 유용한 정보네요~ 감사합니다♡﻿
202,혹시 발렌시아가 흰색 토트백 사이즈가 xs 맞나요?? 넘 이뻐서 사고싶어요ㅠㅠㅠ﻿
203,가방 보고싶은데 얼굴 위주로만 영상 구성되서 아쉽네요 가방 설명하는데 얼굴 보고있어야돼...﻿
204,SADDLER 가방 너뮤좋아요 디자이너분도 정말 가죽하나하나 설명해주시고 가방 뿐만아니라 카드지갑도 질도 너무좋고 정말 오래 쓰고 있어요!﻿
205,리뷰진짜좋은것같아요ㅠㅠ 딱 장점이랑 단점 골라주고 실용도 말해주고 쓰면서 느낀점이랑 코디와 같이 활용한 사진까지있는게넘조아요 이런리뷰더해주세여!﻿
206,진짜 솔직리뷰네요ㅋㅋ﻿
207,너무 사랑스럽다 전 여자지만 사랑스러워보여요 너무 ㅠㅠㅠ﻿
208,한지민 닮은...﻿
209,"제 취향은 지방시 하늘색백이랑 발렌시아가 화이트 백이네요~ 무난 깔끔ㅎㅎ
발렌시아가 저 화이트 숄더백은 진짜 예쁘네요 활용도가 넘 높을것 같고 이뻐서 사고싶다..﻿"
210,착용하신 원피스 정보 알고싶어요ㅠ﻿
211,너무너무는 아니고 너무래ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀엽더..﻿
212,꺄아 하늘언니다앗❤❤❤❤❤❤ 언니 오늘도 이쁘다아ㅠ﻿
213,너무좋앜!!!!!!!!!!!!!!!!!!!!!!!!!!💗💗💗💗💗💗💗﻿
214,언니 진짜 너무 에뻐요 ㅜㅜ 오늘 영상에서 핟 메이크업도 올려주세용!!﻿
215,발렌시아가 토트백 사고싶은데 찾아보니 품절이네요 ... 엉엉 ㅠㅠㅠ﻿
